Timestamp,Day,Sleep,Meals/Eating/Prep,School,Homework,Working,Personal Hygiene,Travel/Commute,Chores,Online,Friends,Streaming,Videogames,Sports,Reading,Hobbies,Other
11/9/2023 11:58:20,Day 5 - M 6am to Tu 6am,390,70,435,95,0,70,40,10,90,40,70,0,0,30,0,100
11/9/2023 12:00:32,Day 4 - Sun 6am to M 6am,600,60,0,250,0,50,0,60,240,0,110,0,0,170,0,0
11/9/2023 12:03:31,Day 5 - M 6am to Tu 6am,600,65,320,60,0,30,130,30,0,0,145,0,0,60,0,0
11/9/2023 13:52:00,Day 1 - Th 6am to F 6am,360,65,480,200,0,50,115,0,95,40,0,0,0,0,15,0
11/9/2023 13:53:59,Day 2 - F 6am to Sat 6am,360,75,400,210,0,90,15,40,110,30,70,0,0,30,10,0
11/9/2023 13:55:09,Day 3 - Sat 6am to Sun 6am,360,75,0,120,0,110,55,0,200,410,0,0,0,0,110,0
11/9/2023 13:56:14,Day 4 - Sun 6am to M 6am,360,65,480,200,0,50,115,0,95,40,0,0,0,20,15,0
11/9/2023 13:57:47,Day 5 - M 6am to Tu 6am,360,65,480,200,0,50,20,95,95,40,0,0,0,20,15,0
11/10/2023 8:41:48,Day 1 - Th 6am to F 6am,6,0.5,7,2,0,1,1,1,2,7,2,0,2,2,0,0
11/10/2023 8:43:13,Day 2 - F 6am to Sat 6am,5,0.5,7,3,0,1,1,1.5,2,7,1,0,2,2,0,0
11/10/2023 8:44:12,Day 3 - Sat 6am to Sun 6am,7,1,0,2,7,1,1,2,2,0,2,0,0,1,0,0
11/10/2023 8:45:09,Day 4 - Sun 6am to M 6am,7,1,0,2,7,1,1,1.5,1,0,3,0,0,1,0,0
11/10/2023 8:46:19,Day 5 - M 6am to Tu 6am,6,0.5,7,2,2,1,1,0.5,1,7,2,0,7,1,0,0
11/10/2023 16:49:19,Day 2 - F 6am to Sat 6am,420,95,425,49,0,87,80,0,72,25,64,0,85,0,38,0
11/10/2023 17:47:31,Day 3 - Sat 6am to Sun 6am,630,110,0,330,0,70,40,0,60,0,50,60,0,0,90,0
11/10/2023 17:51:24,Day 4 - Sun 6am to M 6am,556,120,0,300,0,104,20,0,120,0,60,90,10,0,60,0
11/10/2023 17:55:24,Day 5 - M 6am to Tu 6am,425,93,335,110,0,111,84,10,53,51,55,0,78,0,0,35
